a1900,s1900,a1803,s1803
6,H,65,F
78,F,1,F
52,F,65,H
66,F,42,F
68,H,1,H
48,F,27,F
64,F,23,H
73,H,70,H
70,F,68,H
63,F,0,H
65,F,0,F
84,H,78,F
63,F,84,H
83,F,20,F
73,F,70,H
20,H,71,F
0,F,57,F
68,F,0,F
60,F,0,F
11,F,0,H
68,H,66,H
95,F,83,F
70,H,2,H
71,F,5,F
68,H,24,H
27,H,72,F
74,F,77,F
69,F,12,F
76,F,65,F
82,F,56,F
38,F,23,F
84,H,51,H
72,F,69,H
82,H,2,H
76,F,0,F
64,H,70,F
69,F,83,H
84,F,3,F
74,H,65,H
91,F,75,H
78,H,62,H
78,F,64,F
67,H,72,F
0,H,81,H
39,H,55,F
63,H,86,F
79,H,33,F
51,F,60,F
79,F,3,H
84,F,45,F
98,H,8,F
78,F,0,F
84,F,44,F
17,H,3,F
68,H,62,F
58,H,78,F
24,H,4,F
35,H,1,H
77,F,5,F
66,F,72,F
82,F,40,H
86,F,31,H
78,H,0,H
0,H,8,H
58,F,19,F
55,F,24,F
1,F,1,F
52,F,42,H
45,H,48,H
72,F,8,F
74,F,80,F
42,H,5,H
27,H,8,H
32,H,46,F
19,H,0,F
70,H,0,H
37,H,1,F
0,F,5,F
66,H,0,F
0,H,0,H
56,F,52,H
64,F,2,F
30,F,2,F
53,H,1,H
1,H,0,H
61,H,50,H
72,H,2,H
29,H,0,H
84,F,0,H
75,F,74,F
2,F,1,H
53,H,65,H
66,H,4,F
40,H,2,F
77,H,1,F
0,H,2,H
1,H,0,H
17,H,0,F
33,F,0,F
77,F,1,F
40,H,2,H
1,H,2,F
77,H,62,F
66,F,76,F
55,H,0,F
20,F,3,H
2,H,,
8,F,,
52,H,,
1,F,,
69,H,,
33,F,,
63,H,,
72,H,,
48,H,,
59,H,,
30,H,,
30,F,,
66,F,,
11,H,,
33,H,,
1,F,,
25,F,,
59,H,,
86,H,,
63,H,,
47,H,,
22,F,,
68,H,,
68,F,,
79,H,,
71,F,,
30,H,,
11,F,,
67,F,,
77,H,,
0,H,,
64,F,,
37,F,,
48,H,,
61,H,,
62,H,,
56,H,,
29,F,,
0,F,,
80,F,,
0,H,,
51,H,,
14,F,,
66,F,,
0,H,,
0,H,,
73,H,,
56,F,,
1,H,,
22,H,,
0,F,,
62,H,,
82,F,,
67,H,,
1,F,,
80,F,,
24,F,,
31,F,,
0,H,,
88,F,,
60,H,,
0,H,,
78,H,,
45,F,,
0,F,,
30,F,,
26,F,,
0,F,,
3,F,,
67,H,,
0,H,,
74,F,,
17,F,,
26,H,,
67,F,,
1,F,,
65,F,,
0,H,,
61,H,,
59,H,,
72,F,,
37,F,,
28,F,,
90,F,,
0,F,,
29,H,,
52,H,,
25,H,,
3,F,,
79,H,,
56,F,,
54,F,,
69,F,,
50,F,,
5,H,,
82,H,,
15,F,,
72,F,,
49,H,,
70,H,,
68,H,,
80,H,,
66,H,,
43,F,,
3,H,,
26,F,,
73,F,,
55,F,,
38,F,,
4,H,,
58,F,,
32,H,,
87,H,,
70,H,,
82,H,,
0,F,,
0,H,,
58,H,,
30,H,,
66,F,,
0,H,,
0,H,,
59,F,,
69,H,,
1,H,,
83,F,,
13,H,,
25,F,,
95,H,,
60,F,,
