"Libellé";"Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France - Nomenclature Coicop : 07.1.3.0 - Bicyclettes";"Codes"
"idBank";"001763649";""
"Période";"";""
"2021-02";"101.05";"A"
"2021-01";"100.58";"A"
"2020-12";"99.91";"A"
"2020-11";"100.46";"A"
"2020-10";"100.51";"A"
"2020-09";"100.06";"A"
"2020-08";"100.46";"A"
"2020-07";"100.38";"A"
"2020-06";"100.22";"U"
"2020-05";"99.5";"U"
"2020-04";"99.36";"U"
"2020-03";"99.4";"A"
"2020-02";"98.52";"A"
"2020-01";"98.05";"A"
"2019-12";"98.27";"A"
"2019-11";"98.43";"A"
"2019-10";"98.61";"A"
"2019-09";"98.86";"A"
"2019-08";"99.03";"A"
"2019-07";"98.27";"A"
"2019-06";"98.85";"A"
"2019-05";"99.26";"A"
"2019-04";"99.33";"A"
"2019-03";"99.56";"A"
"2019-02";"99.23";"A"
"2019-01";"98.79";"A"
"2018-12";"98.27";"A"
"2018-11";"98.99";"A"
"2018-10";"99.11";"A"
"2018-09";"98.49";"A"
"2018-08";"98.88";"A"
"2018-07";"98.29";"A"
"2018-06";"99.25";"A"
"2018-05";"98.81";"A"
"2018-04";"98.51";"A"
"2018-03";"98.77";"A"
"2018-02";"99.12";"A"
"2018-01";"99.05";"A"
"2017-12";"99.4";"A"
"2017-11";"99.68";"A"
"2017-10";"100.05";"A"
"2017-09";"99.49";"A"
"2017-08";"99.51";"A"
"2017-07";"99.43";"A"
"2017-06";"99.76";"A"
"2017-05";"100.22";"A"
"2017-04";"99.78";"A"
"2017-03";"99.67";"A"
"2017-02";"98.26";"A"
"2017-01";"98.36";"A"
"2016-12";"99.21";"A"
"2016-11";"99.4";"A"
"2016-10";"99.11";"A"
"2016-09";"98.43";"A"
"2016-08";"98.75";"A"
"2016-07";"98.86";"A"
"2016-06";"99.87";"A"
"2016-05";"99.87";"A"
"2016-04";"100.11";"A"
"2016-03";"100.33";"A"
"2016-02";"101.07";"A"
"2016-01";"101.0";"A"
"2015-12";"100.19";"A"
"2015-11";"99.94";"A"
"2015-10";"100.52";"A"
"2015-09";"100.88";"A"
"2015-08";"101.11";"A"
"2015-07";"100.66";"A"
"2015-06";"101.05";"A"
"2015-05";"100.69";"A"
"2015-04";"99.47";"A"
"2015-03";"99.49";"A"
"2015-02";"98.57";"A"
"2015-01";"97.44";"A"
