Date;Latitude;Longitude;tasAdjust
19510101;43.56690;1.39783;-0.13
19510102;43.56690;1.39783;-2.18
19510103;43.56690;1.39783;-1.42
19510104;43.56690;1.39783;-1.22
19510105;43.56690;1.39783;-3.51
19510106;43.56690;1.39783;-1.89
19510107;43.56690;1.39783;-0.49
19510108;43.56690;1.39783;2.00
19510109;43.56690;1.39783;7.32
19510110;43.56690;1.39783;9.68
19510111;43.56690;1.39783;8.75
19510112;43.56690;1.39783;7.68
19510113;43.56690;1.39783;7.30
19510114;43.56690;1.39783;9.69
19510115;43.56690;1.39783;11.55
19510116;43.56690;1.39783;11.30
19510117;43.56690;1.39783;9.44
19510118;43.56690;1.39783;6.37
19510119;43.56690;1.39783;7.00
19510120;43.56690;1.39783;9.43
19510121;43.56690;1.39783;8.98
19510122;43.56690;1.39783;10.57
19510123;43.56690;1.39783;10.99
19510124;43.56690;1.39783;8.94
19510125;43.56690;1.39783;3.88
19510126;43.56690;1.39783;7.31
19510127;43.56690;1.39783;5.90
19510128;43.56690;1.39783;4.07
19510129;43.56690;1.39783;0.46
19510130;43.56690;1.39783;3.22
19510131;43.56690;1.39783;4.57
19510201;43.56690;1.39783;2.91
19510202;43.56690;1.39783;4.76
19510203;43.56690;1.39783;4.85
19510204;43.56690;1.39783;3.56
19510205;43.56690;1.39783;5.52
19510206;43.56690;1.39783;3.19
19510207;43.56690;1.39783;4.32
19510208;43.56690;1.39783;5.34
19510209;43.56690;1.39783;5.17
19510210;43.56690;1.39783;7.00
19510211;43.56690;1.39783;7.32
19510212;43.56690;1.39783;5.82
19510213;43.56690;1.39783;5.01
19510214;43.56690;1.39783;7.08
19510215;43.56690;1.39783;7.85
19510216;43.56690;1.39783;9.16
19510217;43.56690;1.39783;10.91
19510218;43.56690;1.39783;8.26
19510219;43.56690;1.39783;6.74
19510220;43.56690;1.39783;6.25
19510221;43.56690;1.39783;5.69
19510222;43.56690;1.39783;9.82
19510223;43.56690;1.39783;10.02
19510224;43.56690;1.39783;7.81
19510225;43.56690;1.39783;6.67
19510226;43.56690;1.39783;7.60
19510227;43.56690;1.39783;6.91
19510228;43.56690;1.39783;8.38
19510301;43.56690;1.39783;13.01
19510302;43.56690;1.39783;9.54
19510303;43.56690;1.39783;9.27
19510304;43.56690;1.39783;6.56
19510305;43.56690;1.39783;6.81
19510306;43.56690;1.39783;5.88
19510307;43.56690;1.39783;6.99
19510308;43.56690;1.39783;6.79
19510309;43.56690;1.39783;12.25
19510310;43.56690;1.39783;10.25
19510311;43.56690;1.39783;7.58
19510312;43.56690;1.39783;6.40
19510313;43.56690;1.39783;8.09
19510314;43.56690;1.39783;7.01
19510315;43.56690;1.39783;8.10
19510316;43.56690;1.39783;9.02
19510317;43.56690;1.39783;10.49
19510318;43.56690;1.39783;13.10
19510319;43.56690;1.39783;13.17
19510320;43.56690;1.39783;11.85
19510321;43.56690;1.39783;12.51
19510322;43.56690;1.39783;13.70
19510323;43.56690;1.39783;15.61
19510324;43.56690;1.39783;11.77
19510325;43.56690;1.39783;9.28
19510326;43.56690;1.39783;7.85
19510327;43.56690;1.39783;8.65
19510328;43.56690;1.39783;8.71
19510329;43.56690;1.39783;13.14
19510330;43.56690;1.39783;14.27
19510331;43.56690;1.39783;10.12
19510401;43.56690;1.39783;10.17
19510402;43.56690;1.39783;7.61
19510403;43.56690;1.39783;11.00
19510404;43.56690;1.39783;12.30
19510405;43.56690;1.39783;13.75
19510406;43.56690;1.39783;13.85
19510407;43.56690;1.39783;9.76
