Point;Latitude;Longitude;Contexte;Période;ATX35;ATXND;ATNND;
282;41.4087;9.1577;RCP4.5;H1;1.17;17;-10;
423;41.4925;8.9759;RCP4.5;H1;1.19;17;-11;
424;41.4864;9.071;RCP4.5;H1;1.17;16;-11;
425;41.4802;9.166;RCP4.5;H1;1.18;18;-10;
426;41.4739;9.261;RCP4.5;H1;1.17;16;-10;
564;41.5759;8.7935;RCP4.5;H1;1.02;12;-5;
565;41.57;8.8888;RCP4.5;H1;1.05;14;-5;
566;41.564;8.984;RCP4.5;H1;1.11;17;-6;
567;41.5579;9.0791;RCP4.5;H1;1.25;26;-7;
568;41.5517;9.1743;RCP4.5;H1;1.19;19;-9;
569;41.5454;9.2694;RCP4.5;H1;1.15;17;-10;
707;41.6474;8.8014;RCP4.5;H1;0.98;12;-5;
708;41.6415;8.8967;RCP4.5;H1;1.05;17;-5;
709;41.6355;8.992;RCP4.5;H1;1.11;18;-6;
710;41.6294;9.0873;RCP4.5;H1;1.23;27;-6;
711;41.6232;9.1826;RCP4.5;H1;1.24;27;-6;
712;41.6169;9.2779;RCP4.5;H1;1.06;15;-6;
849;41.7248;8.7138;RCP4.5;H1;0.98;12;-5;
850;41.719;8.8093;RCP4.5;H1;0.98;12;-5;
851;41.713;8.9047;RCP4.5;H1;1.1;19;-6;
852;41.707;9.0001;RCP4.5;H1;1.17;23;-6;
853;41.7009;9.0955;RCP4.5;H1;1.25;27;-7;
854;41.6946;9.1909;RCP4.5;H1;1.27;29;-8;
855;41.6884;9.2863;RCP4.5;H1;1.18;23;-7;
856;41.682;9.3817;RCP4.5;H1;1.06;16;-7;
993;41.7905;8.8171;RCP4.5;H1;1.1;19;-6;
994;41.7845;8.9127;RCP4.5;H1;3.48;20;-6;
995;41.7785;9.0083;RCP4.5;H1;1.3;26;-8;
996;41.7724;9.1038;RCP4.5;H1;0.63;27;-8;
997;41.7661;9.1993;RCP4.5;H1;0.3;27;-8;
998;41.7598;9.2948;RCP4.5;H1;2.65;27;-7;
